feature,test,statistic,p_value,alpha,drift,ref_n,prod_n
beneficios.valor_compra_1,chi2,4338.008484948063,0.0,0.05,True,29742,5950
beneficios.valor_venda,chi2,3405.0845314578664,0.0,0.05,True,29752,5950
codigo_vaga,ks,0.3116238665404317,0.0,0.05,True,29752,5950
informacoes_basicas.cliente,chi2,2069.1077733928933,0.0,0.05,True,29752,5950
informacoes_basicas.empresa_divisao,chi2,90.65775578061059,0.0,0.05,True,29752,5950
informacoes_basicas.limite_esperado_para_contratacao,chi2,12296.736904175732,0.0,0.05,True,29752,5950
informacoes_basicas.prazo_contratacao,chi2,146.69001375756218,0.0,0.05,True,19414,4957
informacoes_basicas.prioridade_vaga,chi2,721.0513116507993,0.0,0.05,True,21525,4161
informacoes_basicas.tipo_contratacao,chi2,678.4573479163199,0.0,0.05,True,28357,5859
informacoes_basicas.titulo_vaga,chi2,21267.907299183025,0.0,0.05,True,29752,5950
informacoes_basicas.vaga_sap,chi2,199.65948899831017,0.0,0.05,True,29752,5950
perfil_vaga.areas_atuacao,chi2,894.0390257112381,0.0,0.05,True,29749,5950
perfil_vaga.bairro,chi2,1194.5517230646492,0.0,0.05,True,2734,377
perfil_vaga.cidade,chi2,728.573993012025,0.0,0.05,True,29624,5936
perfil_vaga.competencia_tecnicas_e_comportamentais,chi2,22230.04097140223,0.0,0.05,True,29741,5950
perfil_vaga.demais_observacoes,chi2,16695.09489410063,0.0,0.05,True,22521,4202
perfil_vaga.equipamentos_necessarios,chi2,150.83753558301976,0.0,0.05,True,8164,1654
perfil_vaga.estado,chi2,166.0900009051599,0.0,0.05,True,29721,5950
perfil_vaga.habilidades_comportamentais_necessarias,chi2,6005.763429218645,0.0,0.05,True,8185,840
perfil_vaga.nivel profissional,chi2,341.80469486530467,0.0,0.05,True,29752,5950
perfil_vaga.nivel_academico,chi2,225.38778099799958,0.0,0.05,True,29752,5950
perfil_vaga.principais_atividades,chi2,22446.43805662435,0.0,0.05,True,29746,5950
perfil_vaga.regiao,chi2,126.44710156216838,0.0,0.05,True,2966,468
situacao_candidato,chi2,126.10223847111305,0.0,0.05,True,29752,5950
titulo_vaga,chi2,21267.90729918303,0.0,0.05,True,29752,5950
codigo_applicant,ks,0.17329556829454018,1.122317012255568e-130,0.05,True,29752,5950
perfil_vaga.local_trabalho,ks,0.09219211588910908,4.01943480501085e-37,0.05,True,29752,5950
perfil_vaga.nivel_ingles,chi2,81.0109888777,5.551115123125783e-16,0.05,True,29752,5950
perfil_vaga.horario_trabalho,chi2,137.71371622456363,2.1094237467877974e-15,0.05,True,553,101
perfil_vaga.outro_idioma,chi2,95.00534522500118,5.218048215738236e-15,0.05,True,789,304
perfil_vaga.nivel_espanhol,chi2,73.50355990691905,1.9095836023552692e-14,0.05,True,27193,5582
informacoes_basicas.objetivo_vaga,chi2,47.117499223623426,3.281228622142862e-10,0.05,True,24367,4951
perfil_vaga.faixa_etaria,chi2,46.03694696085368,2.3388583458849865e-07,0.05,True,29752,5950
status_simplificado,chi2,23.28592021668977,8.780650112560906e-06,0.05,True,29752,5950
beneficios.valor_compra_2,chi2,81.27906976744185,3.6615556904706636e-05,0.05,True,128,43
informacoes_profissionais.titulo_profissional,chi2,3994.2404399275374,0.0009653418328861019,0.05,True,12726,2757
infos_basicas.objetivo_profissional,chi2,3994.2404399275374,0.0009653418328861019,0.05,True,12726,2757
modalidade,chi2,15.921780564531817,0.0031259385704139886,0.05,True,1340,259
